channel,model,attribution_share,attributed_conversions,attributed_revenue
organic_search,first_click,0.0764,649,64940.0
organic_search,last_click,0.0795,675,67575.0
organic_search,linear,0.0869,738,73865.0
organic_search,time_decay,0.1447,1229,122995.0
organic_search,position_based,0.1043,886,88655.0
organic_search,markov_chain,0.0618,525,52530.0
paid_search,first_click,0.1526,1297,129710.0
paid_search,last_click,0.0491,417,41735.0
paid_search,linear,0.0656,557,55760.0
paid_search,time_decay,0.1226,1042,104210.0
paid_search,position_based,0.0958,814,81430.0
paid_search,markov_chain,0.0692,588,58820.0
social_organic,first_click,0.0993,844,84405.0
social_organic,last_click,0.1072,911,91120.0
social_organic,linear,0.109,926,92650.0
social_organic,time_decay,0.1364,1159,115940.0
social_organic,position_based,0.142,1207,120700.0
social_organic,markov_chain,0.1318,1120,112030.0
social_paid,first_click,0.1862,1582,158270.0
social_paid,last_click,0.1559,1325,132515.0
social_paid,linear,0.1962,1667,166770.0
social_paid,time_decay,0.2258,1919,191930.0
social_paid,position_based,0.1825,1551,155125.0
social_paid,markov_chain,0.1819,1546,154615.0
email,first_click,0.1633,1388,138805.0
email,last_click,0.1943,1651,165155.0
email,linear,0.134,1139,113900.0
email,time_decay,0.2043,1736,173655.0
email,position_based,0.1734,1473,147390.0
email,markov_chain,0.1617,1374,137445.0
referral,first_click,0.2249,1911,191165.0
referral,last_click,0.153,1300,130050.0
referral,linear,0.2041,1734,173485.0
referral,time_decay,0.2014,1711,171190.0
referral,position_based,0.1604,1363,136340.0
referral,markov_chain,0.2023,1719,171955.0
direct,first_click,0.1413,1201,120105.0
direct,last_click,0.1275,1083,108375.0
direct,linear,0.1587,1348,134895.0
direct,time_decay,0.1157,983,98345.0
direct,position_based,0.1409,1197,119765.0
direct,markov_chain,0.1289,1095,109565.0
display,first_click,0.153,1300,130050.0
display,last_click,0.1866,1586,158610.0
display,linear,0.1652,1404,140420.0
display,time_decay,0.1273,1082,108205.0
display,position_based,0.1174,997,99790.0
display,markov_chain,0.1951,1658,165835.0
