path_id,touchpoints,path_length,converted,revenue,days_to_convert
PATH-0001,paid_search > social_paid > display > paid_search > organic_search,5,True,440.02,9.0
PATH-0002,organic_search > organic_search > referral,3,False,0.0,
PATH-0003,paid_search > organic_search > organic_search,3,False,0.0,
PATH-0004,social_organic > organic_search > social_organic > email > social_organic > email,6,True,110.04,10.0
PATH-0005,paid_search > social_paid > social_organic > social_organic,4,False,0.0,
PATH-0006,display > social_organic > referral > email > social_organic,5,False,0.0,
PATH-0007,display > paid_search > email > referral > organic_search > paid_search,6,True,228.84,14.0
PATH-0008,social_paid > display > referral > paid_search > direct > referral,6,False,0.0,
PATH-0009,display > email > referral > organic_search > referral > display > social_organic,7,False,0.0,
PATH-0010,referral > email,2,False,0.0,
PATH-0011,direct > display,2,False,0.0,
PATH-0012,direct > display > social_organic > social_paid,4,False,0.0,
PATH-0013,email > social_paid > display,3,False,0.0,
PATH-0014,paid_search > email > social_organic > organic_search,4,False,0.0,
PATH-0015,paid_search > social_paid > referral > email > display,5,True,444.98,5.0
PATH-0016,display > direct > social_paid > organic_search > direct > referral > display,7,True,374.13,22.0
PATH-0017,direct > paid_search > display,3,False,0.0,
PATH-0018,display > organic_search,2,False,0.0,
PATH-0019,referral > email > referral > display,4,False,0.0,
PATH-0020,paid_search > social_organic > display > social_organic > referral,5,True,92.23,11.0
PATH-0021,social_paid > referral > paid_search > paid_search > referral,5,True,120.05,7.0
PATH-0022,paid_search > paid_search > paid_search > email > display > organic_search > organic_search,7,False,0.0,
PATH-0023,display > email > email > social_organic,4,False,0.0,
PATH-0024,organic_search > display > email,3,True,476.63,2.0
PATH-0025,social_organic > organic_search > display > email > referral,5,True,132.84,2.0
PATH-0026,referral > display > email > social_paid > paid_search > social_organic,6,True,404.48,3.0
PATH-0027,display > organic_search,2,False,0.0,
PATH-0028,email > paid_search > social_organic > referral > display > paid_search > direct,7,False,0.0,
PATH-0029,paid_search > social_paid > social_organic > social_paid > organic_search > paid_search > social_organic,7,False,0.0,
PATH-0030,social_organic > email > organic_search > social_paid,4,True,459.11,14.0
PATH-0031,organic_search > display > paid_search > paid_search > direct,5,False,0.0,
PATH-0032,email > paid_search > referral,3,False,0.0,
PATH-0033,social_organic > display,2,True,448.12,27.0
PATH-0034,referral > email > social_paid,3,False,0.0,
PATH-0035,email > email > display > email > display > direct > social_paid,7,True,448.05,19.0
PATH-0036,direct > email,2,False,0.0,
PATH-0037,paid_search > display,2,False,0.0,
PATH-0038,paid_search > social_paid,2,False,0.0,
PATH-0039,referral > social_organic > social_paid > display > display > direct,6,True,382.73,14.0
PATH-0040,paid_search > paid_search > direct > referral > direct > referral > social_organic,7,True,51.73,9.0
PATH-0041,paid_search > social_organic > paid_search > social_organic,4,True,420.67,24.0
PATH-0042,direct > social_paid > organic_search > paid_search > referral > display,6,False,0.0,
PATH-0043,organic_search > referral > paid_search > display > social_paid > referral > paid_search,7,True,278.88,28.0
PATH-0044,email > display > social_paid > email > referral > organic_search > email,7,True,293.18,12.0
PATH-0045,organic_search > organic_search > organic_search,3,True,240.35,21.0
PATH-0046,social_organic > referral > social_paid,3,False,0.0,
PATH-0047,display > social_organic > social_organic > social_paid > social_paid,5,False,0.0,
PATH-0048,display > referral > paid_search > social_organic,4,False,0.0,
PATH-0049,paid_search > referral > direct,3,False,0.0,
