date,channel,sessions,conversions,revenue,spend,bounce_rate,avg_session_duration,is_anomaly,anomaly_type
2025-04-01,organic_search,1077,31,1418.08,0.0,0.372,140.9,False,
2025-04-01,paid_search,813,31,3133.0,1607.09,0.461,119.0,False,
2025-04-01,social_organic,682,12,861.56,0.0,0.616,213.5,False,
2025-04-01,social_paid,503,16,1186.82,625.7,0.405,236.2,False,
2025-04-01,email,481,26,2542.08,25.16,0.32,284.6,False,
2025-04-01,referral,288,11,667.82,0.0,0.26,233.2,False,
2025-04-01,direct,752,25,1913.96,0.0,0.376,218.9,False,
2025-04-01,display,333,3,147.05,248.43,0.611,238.5,False,
2025-04-02,organic_search,1153,38,3223.22,0.0,0.456,254.7,False,
2025-04-02,paid_search,825,38,2450.42,1317.37,0.479,138.5,False,
2025-04-02,social_organic,500,7,424.84,0.0,0.588,281.6,False,
2025-04-02,social_paid,392,13,1126.03,468.13,0.575,104.8,False,
2025-04-02,email,383,22,1040.7,21.07,0.265,66.8,False,
2025-04-02,referral,249,9,399.18,0.0,0.332,260.9,False,
2025-04-02,direct,796,28,1597.9,0.0,0.429,160.8,False,
2025-04-02,display,295,8,669.25,279.05,0.648,284.5,False,
2025-04-03,organic_search,1025,21,2045.74,0.0,0.385,172.3,False,
2025-04-03,paid_search,663,23,2620.95,1318.62,0.355,175.5,False,
2025-04-03,social_organic,660,9,458.05,0.0,0.662,68.7,False,
2025-04-03,social_paid,515,14,962.34,566.76,0.507,101.8,False,
2025-04-03,email,433,23,2435.79,21.49,0.244,194.1,False,
2025-04-03,referral,383,15,663.39,0.0,0.323,258.0,False,
2025-04-03,direct,620,17,1334.58,0.0,0.456,131.5,False,
2025-04-03,display,265,5,584.57,231.53,0.586,183.0,False,
2025-04-04,organic_search,1229,28,1444.03,0.0,0.352,144.6,False,
2025-04-04,paid_search,767,31,2275.46,1270.48,0.291,217.6,False,
2025-04-04,social_organic,583,10,553.87,0.0,0.568,169.2,False,
2025-04-04,social_paid,583,15,934.19,823.61,0.387,272.2,False,
2025-04-04,email,402,19,1102.09,19.38,0.306,140.2,False,
2025-04-04,referral,347,15,1349.42,0.0,0.303,112.2,False,
2025-04-04,direct,729,27,2203.39,0.0,0.522,141.6,False,
2025-04-04,display,356,7,652.51,347.66,0.501,271.7,False,
2025-04-05,organic_search,756,22,2566.69,0.0,0.541,191.2,False,
2025-04-05,paid_search,653,32,3337.61,1200.31,0.32,177.3,False,
2025-04-05,social_organic,339,1,116.29,0.0,0.569,100.2,False,
2025-04-05,social_paid,461,12,582.65,551.83,0.496,269.8,False,
2025-04-05,email,265,15,646.77,15.09,0.322,197.9,False,
2025-04-05,referral,242,10,1112.08,0.0,0.398,292.2,False,
2025-04-05,direct,489,23,1633.12,0.0,0.401,269.0,False,
2025-04-05,display,219,3,345.48,191.47,0.488,146.0,False,
2025-04-06,organic_search,952,9,815.03,0.0,0.525,188.1,False,
2025-04-06,paid_search,543,29,2825.12,1000.09,0.278,73.6,False,
2025-04-06,social_organic,386,2,125.22,0.0,0.478,186.7,False,
2025-04-06,social_paid,292,0,374.64,342.6,0.46,263.9,True,cvr_drop
2025-04-06,email,216,13,957.59,11.69,0.262,74.6,False,
2025-04-06,referral,226,8,787.56,0.0,0.23,117.0,False,
2025-04-06,direct,548,20,2104.01,0.0,0.442,104.1,False,
2025-04-06,display,216,2,227.34,182.27,0.602,278.0,False,
2025-04-07,organic_search,1121,35,3944.34,0.0,0.467,226.3,False,
2025-04-07,paid_search,781,33,1434.08,1672.52,0.455,64.1,False,
2025-04-07,social_organic,586,9,367.27,0.0,0.521,195.7,False,
2025-04-07,social_paid,470,18,980.71,667.55,0.541,213.3,False,
2025-04-07,email,408,26,1901.7,24.29,0.383,288.8,False,
2025-04-07,referral,310,13,523.65,0.0,0.505,108.2,False,
2025-04-07,direct,638,20,1287.9,0.0,0.33,70.2,False,
2025-04-07,display,340,7,528.72,322.46,0.759,258.6,False,
2025-04-08,organic_search,1543,37,4302.57,0.0,0.571,102.5,False,
2025-04-08,paid_search,684,32,2606.89,1441.8,0.383,157.8,False,
2025-04-08,social_organic,608,4,247.86,0.0,0.505,251.2,False,
2025-04-08,social_paid,560,11,1297.06,634.81,0.43,204.3,False,
2025-04-08,email,467,33,3734.8,24.98,0.383,103.5,False,
2025-04-08,referral,287,12,1080.38,0.0,0.355,216.9,False,
2025-04-08,direct,618,20,1574.39,0.0,0.416,226.8,False,
2025-04-08,display,346,2,136.97,270.28,0.568,85.5,False,
2025-04-09,organic_search,1118,17,958.56,0.0,0.469,231.0,False,
2025-04-09,paid_search,719,24,2705.36,1537.27,0.505,101.7,False,
2025-04-09,social_organic,612,0,0.0,0.0,0.606,139.4,False,
2025-04-09,social_paid,692,22,1242.59,881.83,0.484,70.4,False,
2025-04-09,email,405,19,919.51,16.38,0.32,228.8,False,
2025-04-09,referral,244,10,545.98,0.0,0.264,158.9,False,
2025-04-09,direct,618,22,1077.6,0.0,0.411,231.8,False,
2025-04-09,display,380,4,174.47,273.86,0.67,144.2,False,
2025-04-10,organic_search,1169,36,4074.85,0.0,0.608,190.4,False,
2025-04-10,paid_search,913,38,1675.86,1574.82,0.328,105.3,False,
2025-04-10,social_organic,763,12,990.84,0.0,0.637,112.6,False,
2025-04-10,social_paid,473,16,1176.58,521.58,0.545,172.9,False,
2025-04-10,email,396,21,1687.02,22.57,0.266,77.4,False,
2025-04-10,referral,347,18,1943.97,0.0,0.509,182.0,False,
2025-04-10,direct,587,19,767.3,0.0,0.502,181.1,False,
2025-04-10,display,361,7,750.59,279.19,0.657,265.3,False,
2025-04-11,organic_search,1028,37,2041.7,0.0,0.417,135.2,False,
2025-04-11,paid_search,739,38,2615.55,1291.31,0.417,295.7,False,
2025-04-11,social_organic,622,8,600.81,0.0,0.679,86.3,False,
