,Start,organic_search,paid_search,social_organic,social_paid,email,referral,direct,display,Conversion,Null
Start,0.017,0.0651,0.18,0.0605,0.0439,0.052,0.1796,0.0624,0.0176,0.0908,0.2312
organic_search,0.0413,0.041,0.1953,0.0217,0.1441,0.199,0.1264,0.1025,0.0211,0.0176,0.0901
paid_search,0.0587,0.0245,0.1214,0.1031,0.1217,0.123,0.1531,0.0519,0.027,0.1974,0.0183
social_organic,0.0234,0.0484,0.2049,0.0535,0.0237,0.0374,0.0363,0.0927,0.044,0.0024,0.4334
social_paid,0.0098,0.018,0.1326,0.0281,0.1243,0.1079,0.0509,0.1234,0.0676,0.136,0.2015
email,0.0321,0.1062,0.1112,0.1089,0.1518,0.1318,0.0287,0.0341,0.0743,0.1078,0.1131
referral,0.1041,0.1181,0.1157,0.0777,0.211,0.0223,0.0106,0.0901,0.1072,0.0899,0.0534
direct,0.1269,0.0407,0.0227,0.1943,0.0553,0.0991,0.0499,0.0571,0.1673,0.0928,0.0938
display,0.0136,0.0535,0.0296,0.2264,0.027,0.1443,0.0633,0.0193,0.1021,0.1388,0.1821
Conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
